text,role
"Experienced Java developer with Spring Boot REST API microservices MySQL PostgreSQL Docker Kubernetes AWS",Backend
"Built Spring Boot microservices with JDBC Hibernate MySQL REST API Docker AWS deployment",Backend
"Java backend engineer Spring Boot REST API PostgreSQL Redis Kafka unit testing Git",Backend
"Python Spring REST API MySQL backend developer with Docker experience and AWS deployment",Backend
"Senior backend developer Java Spring Boot microservices REST API MySQL Docker Kubernetes",Backend
"Backend engineer with Java Spring JDBC MySQL REST API Docker and CI CD experience",Backend
"Java developer Spring Boot Hibernate MySQL PostgreSQL microservices REST API AWS",Backend
"Backend Java engineer Spring Boot REST API MySQL Redis Docker unit testing",Backend
"Python developer FastAPI REST API PostgreSQL MySQL Docker AWS microservices backend",Backend
"Node.js backend developer Express REST API MongoDB MySQL Docker AWS serverless",Backend
"HTML CSS JavaScript React developer frontend web applications responsive design",Frontend
"Frontend developer React TypeScript Next.js Redux Webpack Tailwind CSS",Frontend
"React developer JavaScript TypeScript Redux Next.js angular responsive design",Frontend
"HTML CSS JavaScript Vue angular responsive design frontend developer",Frontend
"Frontend engineer React TypeScript Tailwind CSS Jest Figma performance optimization",Frontend
"JavaScript React Next.js TypeScript Tailwind accessibility performance Webpack",Frontend
"Angular developer TypeScript HTML CSS responsive design RxJS React",Frontend
"Vue.js developer JavaScript HTML CSS Sass Webpack responsive design",Frontend
"Frontend React Redux Saga TypeScript Next.js Tailwind CSS accessibility Jest",Frontend
"UI developer React JavaScript HTML CSS responsive design Figma TypeScript",Frontend
"Python SQL pandas numpy data visualization tableau power bi statistics",Data Analyst
"Data analyst Python SQL pandas Excel statistics tableau visualization jupyter",Data Analyst
"Data analyst SQL Python pandas numpy statistics power bi tableau excel",Data Analyst
"SQL data analyst Python tableau power bi statistics data visualization jupyter",Data Analyst
"Python pandas SQL statistics data visualization power bi tableau excel jupyter",Data Analyst
"Business analyst SQL Python pandas Excel statistics tableau reporting google analytics",Data Analyst
"Python data analyst pandas numpy matplotlib SQL statistics data visualization",Data Analyst
"SQL Python pandas data cleaning statistics A B testing google analytics power bi",Data Analyst
"Data analytics SQL Python R statistics pandas numpy matplotlib tableau",Data Analyst
"Python numpy pandas SQL statistics machine learning data visualization jupyter",Data Analyst
"Docker Kubernetes terraform AWS jenkins CI CD linux ansible prometheus grafana",DevOps
"DevOps engineer Docker Kubernetes terraform AWS jenkins CI CD linux bash",DevOps
"Docker Kubernetes AWS terraform CI CD jenkins linux prometheus grafana ansible",DevOps
"DevOps terraform Kubernetes Docker AWS jenkins ansible bash prometheus grafana",DevOps
"Cloud engineer Kubernetes Docker terraform AWS Azure CI CD jenkins linux",DevOps
"DevOps engineer Docker Kubernetes AWS GCP terraform helm ansible CI CD",DevOps
"Infrastructure engineer terraform AWS Docker Kubernetes jenkins CI CD linux",DevOps
"DevOps Kubernetes Docker terraform AWS jenkins CI CD prometheus grafana nginx",DevOps
"Cloud DevOps Docker Kubernetes terraform AWS helm CI CD linux bash python",DevOps
"DevOps engineer AWS Azure Docker Kubernetes terraform CI CD ansible jenkins",DevOps
"Java Python JavaScript React HTML CSS MySQL Docker REST API AWS full stack",Full Stack
"Full stack developer React Node.js JavaScript TypeScript MySQL Docker REST API",Full Stack
"Java Spring Boot React JavaScript HTML CSS MySQL Docker AWS rest api full stack",Full Stack
"Full stack JavaScript React Node.js MongoDB REST API Docker AWS typescript",Full Stack
"Python Django React JavaScript HTML CSS MySQL Docker AWS Rest API full stack",Full Stack
"MEAN stack developer MongoDB Express React Node.js JavaScript HTML CSS",Full Stack
"Full stack developer Java Spring Boot Angular MySQL Docker REST API AWS",Full Stack
"Java React JavaScript HTML CSS MySQL MongoDB Docker REST API full stack developer",Full Stack
"Full stack Python Flask React JavaScript HTML CSS MySQL Docker AWS",Full Stack
"Node.js Express React JavaScript TypeScript MySQL MongoDB Docker REST API full stack",Full Stack
"Python TensorFlow PyTorch scikit-learn machine learning deep learning NLP pandas numpy",ML Engineer
"Machine learning engineer Python scikit-learn TensorFlow PyTorch deep learning NLP",ML Engineer
"Python PyTorch deep learning computer vision NLP scikit-learn pandas Docker AWS",ML Engineer
"ML engineer Python TensorFlow Keras scikit-learn pandas numpy statistics CUDA GPU",ML Engineer
"Python machine learning scikit-learn TensorFlow PyTorch NLP deep learning mlflow",ML Engineer
"AI ML engineer Python PyTorch TensorFlow deep learning computer vision scikit-learn",ML Engineer
"Python deep learning NLP TensorFlow PyTorch scikit-learn statistics pandas Docker",ML Engineer
"ML Python scikit-learn pandas numpy TensorFlow PyTorch CUDA Docker AWS mlflow",ML Engineer
"Machine learning Python TensorFlow scikit-learn statistics NLP computer vision pandas",ML Engineer
"Python data scientist machine learning deep learning PyTorch scikit-learn statistics",ML Engineer
